p_warn;dens;dscr;val
0;real;sum_newip;3305
0;real;sum_trltls;858
0;real;ticks;365
0;real;sum_newip;3206
0;real;sum_trltls;858
0;real;ticks;365
0;real;sum_newip;3195
0;real;sum_trltls;858
0;real;ticks;365
0;real;sum_newip;3340
0;real;sum_trltls;858
0;real;ticks;365
0;real;sum_newip;3256
0;real;sum_trltls;858
0;real;ticks;365
0;real;sum_newip;3309
0;real;sum_trltls;858
0;real;ticks;365
0;real;sum_newip;3341
0;real;sum_trltls;858
0;real;ticks;365
0;real;sum_newip;3492
0;real;sum_trltls;858
0;real;ticks;365
0;real;sum_newip;3299
0;real;sum_trltls;858
0;real;ticks;365
0;real;sum_newip;3417
0;real;sum_trltls;858
0;real;ticks;365
0;real;sum_newip;3266
0;real;sum_trltls;858
0;real;ticks;365
0;real;sum_newip;3282
0;real;sum_trltls;858
0;real;ticks;365
0;real;sum_newip;3355
0;real;sum_trltls;858
0;real;ticks;365
0;real;sum_newip;3354
0;real;sum_trltls;858
0;real;ticks;365
0;real;sum_newip;3275
0;real;sum_trltls;858
0;real;ticks;365
0;real;sum_newip;3194
0;real;sum_trltls;858
0;real;ticks;365
0;real;sum_newip;3093
0;real;sum_trltls;858
0;real;ticks;365
0;real;sum_newip;3302
0;real;sum_trltls;858
0;real;ticks;365
0;real;sum_newip;3224
0;real;sum_trltls;858
0;real;ticks;365
0;real;sum_newip;3352
0;real;sum_trltls;858
0;real;ticks;365
0;real;sum_newip;3243
0;real;sum_trltls;858
0;real;ticks;365
0;real;sum_newip;3361
0;real;sum_trltls;858
0;real;ticks;365
0;real;sum_newip;3231
0;real;sum_trltls;858
0;real;ticks;365
0;sim_15;sum_newip;3276
0;sim_15;sum_trltls;858
0;sim_15;ticks;365
0;sim_15;sum_newip;3291
0;sim_15;sum_trltls;858
0;sim_15;ticks;365
0;sim_15;sum_newip;3187
0;sim_15;sum_trltls;858
0;sim_15;ticks;365
0;sim_15;sum_newip;3287
0;sim_15;sum_trltls;858
0;sim_15;ticks;365
0;sim_15;sum_newip;3206
0;sim_15;sum_trltls;858
0;sim_15;ticks;365
0;sim_15;sum_newip;3442
